toe,	 toc,	 ttr,	sat,	 iode,	 iodc,	 sva,	 svh,	 week,	 code,	 flag,	 A,	 e,	 i0,	 OMG0,	 omg,	 M0,	 deln,	 OMGd,	 idot,	 crc,	 crs,	 cuc,	 cus,	 cic,	 cis,	 toes,	 f0,	 f1,	 f2,	 tgd0,	 tgd1,	 tgd2,	 tgd3,	 Adot,	 ndot
 1503662400,	 1503662400,	 1503660936,	27,	 84,	 84,	 0,	 0,	 1963,	 1,	 0,	 26560354.437852938,	 0.0049039205769076935,	 0.97541776158500715,	 1.2038564500018831,	 0.39775592721663855,	 1.498739319571319,	 4.2601774534908975e-09,	 -7.9989046150555114e-09,	 2.8215461001490684e-10,	 193.5625,	 44.71875,	 2.5089830160140991e-06,	 9.9819153547286987e-06,	 4.0978193283081055e-08,	 1.5832483768463135e-07,	 475200,	 0.00031556794419884682,	 5.5706550483591838e-12,	 0,	 1.3969838619232178e-09,	 0,	 0,	 0,	 0,	 0
 1503662400,	 1503662400,	 1503660936,	4,	 52,	 52,	 1,	 63,	 1963,	 1,	 0,	 26560332.67456324,	 0.012302937451750038,	 0.95675637918923961,	 1.1146194200071089,	 0.43392526010024784,	 1.7153524277710264,	 4.6180495031553735e-09,	 -8.1946270533949653e-09,	 2.1179453637827818e-10,	 171.6875,	 37.71875,	 2.1643936634063721e-06,	 1.0706484317779541e-05,	 -1.6763806343078613e-07,	 2.7567148208618164e-07,	 475200,	 1.5251338481903076e-05,	 5.9117155615240319e-12,	 0,	 -5.5879354476928711e-09,	 0,	 0,	 0,	 0,	 0
 1503662400,	 1503662400,	 1503660936,	10,	 23,	 23,	 0,	 0,	 1963,	 1,	 0,	 26560348.795517717,	 0.0026963587151840325,	 0.96071742153112383,	 -2.9829657574114319,	 -2.8222850632269902,	 -2.7748382894384149,	 4.3333947890010951e-09,	 -7.9339019074318243e-09,	 -3.3572827014431953e-10,	 181.125,	 -62.625,	 -3.2335519790649414e-06,	 1.0238960385322571e-05,	 2.9802322387695312e-08,	 -9.3132257461547852e-09,	 475200,	 4.6952627599239349e-05,	 1.0459189070388673e-11,	 0,	 1.862645149230957e-09,	 0,	 0,	 0,	 0,	 0
 1503662384,	 1503662384,	 1503660936,	15,	 5,	 5,	 0,	 0,	 1963,	 1,	 0,	 26559631.830627017,	 0.0094853505725041014,	 0.92878297901341111,	 -2.0078190482139875,	 0.59328117955964754,	 0.63351009109528822,	 5.0691397214450292e-09,	 -8.4167791640649309e-09,	 2.7465429759678907e-10,	 172.84375,	 62.65625,	 3.3881515264511108e-06,	 9.838491678237915e-06,	 -9.4994902610778809e-08,	 2.1420419216156006e-07,	 475184,	 -0.00035509327426552773,	 -4.5474735088646402e-13,	 0,	 -1.0710209608078003e-08,	 0,	 0,	 0,	 0,	 0
 1503662400,	 1503662400,	 1503660936,	13,	 69,	 69,	 0,	 0,	 1963,	 1,	 0,	 26560599.653927479,	 0.0035031685838475819,	 0.96902050128486628,	 -1.8163368450116324,	 1.7726020824832256,	 -0.14663618762008426,	 4.2844641794162313e-09,	 -8.0228341832466497e-09,	 4.0787413245192867e-10,	 218.625,	 69.03125,	 3.468245267868042e-06,	 8.6128711700439453e-06,	 -1.0430812835693359e-07,	 -1.3038516044616699e-08,	 475200,	 -9.0256333351135254e-05,	 -6.8212102632969598e-13,	 0,	 -1.1175870895385742e-08,	 0,	 0,	 0,	 0,	 0
 1503662400,	 1503662400,	 1503660936,	26,	 88,	 88,	 0,	 0,	 1963,	 1,	 0,	 26561204.274746869,	 0.0018415238009765742,	 0.95856156011941407,	 0.14758047344480771,	 0.029866947209663031,	 -2.9866207236440179,	 4.6494793837646289e-09,	 -8.057121325729474e-09,	 -3.0358407406667191e-10,	 194.65625,	 -53.96875,	 -2.68593430519104e-06,	 9.5758587121963501e-06,	 2.2351741790771484e-08,	 5.5879354476928711e-09,	 475200,	 -0.00044358987361192703,	 9.5496943686157449e-12,	 0,	 7.4505805969238281e-09,	 0,	 0,	 0,	 0,	 0
 1503662400,	 1503662400,	 1503660966,	18,	 77,	 77,	 0,	 0,	 1963,	 1,	 0,	 26559903.151226725,	 0.018128666561096903,	 0.92634315496208897,	 -3.028313469045643,	 -1.7850251696460997,	 2.9502237519297663,	 4.9716356600094978e-09,	 -8.0039048233342567e-09,	 -3.9930234683122263e-10,	 171.46875,	 -71,	 -3.5855919122695923e-06,	 9.5553696155548096e-06,	 2.123415470123291e-07,	 -1.0244548320770264e-07,	 475200,	 0.00062794890254735947,	 1.0231815394945441e-12,	 0,	 -1.1175870895385742e-08,	 0,	 0,	 0,	 0,	 0
 1503662400,	 1503662400,	 1503660936,	8,	 41,	 41,	 0,	 0,	 1963,	 1,	 0,	 26560426.018889435,	 0.0025648089358583088,	 0.96728310466389467,	 1.1975674295475089,	 -0.62622211264173233,	 1.9986816926121647,	 4.4669717815904301e-09,	 -8.0374776503486884e-09,	 2.3750989324039626e-10,	 200.375,	 45,	 2.5387853384017944e-06,	 9.3020498752593994e-06,	 1.3224780559539795e-07,	 -2.7939677238464355e-08,	 475200,	 -7.1134418249130249e-05,	 -1.364242052659392e-12,	 0,	 5.5879354476928711e-09,	 0,	 0,	 0,	 0,	 0
 1503662400,	 1503662400,	 1503660966,	21,	 51,	 51,	 0,	 0,	 1963,	 1,	 0,	 26559764.040513534,	 0.023963882005773481,	 0.94059636288255277,	 2.2149728608189219,	 -1.6470605152530382,	 -2.4336018394105796,	 5.1920019820084818e-09,	 -8.2199852525228889e-09,	 5.3573660129412693e-11,	 304.03125,	 -6.84375,	 -2.7939677238464355e-07,	 3.0864030122756958e-06,	 2.775341272354126e-07,	 6.7055225372314453e-08,	 475200,	 -0.00048454059287905693,	 2.8421709430403999e-12,	 0,	 -9.7788870334625244e-09,	 0,	 0,	 0,	 0,	 0
 1503662400,	 1503662400,	 1503660966,	16,	 44,	 44,	 0,	 0,	 1963,	 1,	 0,	 26561177.458486129,	 0.0092795004602521641,	 0.98947795648284675,	 0.23977853887002151,	 0.46265431012906871,	 2.3781609380745041,	 3.8808759397746558e-09,	 -7.6435326695304072e-09,	 -2.7108272025482827e-10,	 196.25,	 -51.40625,	 -2.5928020477294922e-06,	 1.0367482900619507e-05,	 -1.8067657947540283e-07,	 -8.5681676864624023e-08,	 475200,	 3.6855228245258331e-05,	 1.13686837721616e-13,	 0,	 -1.0710209608078003e-08,	 0,	 0,	 0,	 0,	 0
